CCTV,#genre#
CCTV1,http://175.43.106.30:4022/rtp/239.61.3.60:9878
CCTV1,http://175.43.106.30:4022/rtp/239.61.3.61:9884
CCTV1,http://219.156.52.203:4000/rtp/225.1.4.73:1102
CCTV1,http://113.205.255.93:8003/rtp/225.0.4.74:7980

CCTV2,http://175.43.106.30:4022/rtp/239.61.2.174:9032
CCTV2,http://113.205.255.93:8003/rtp/225.0.4.132:7980
CCTV2,http://219.156.52.203:4000/rtp/225.1.4.2:1031

CCTV3,http://175.43.106.30:4022/rtp/239.61.3.34:9722
CCTV3,http://113.205.255.93:8003/rtp/225.0.4.142:7980

CCTV4,http://175.43.106.30:4022/rtp/239.61.2.206:9224
CCTV4,http://219.156.52.203:4000/rtp/225.1.5.30:1333
CCTV4,http://113.205.255.93:8003/rtp/225.0.4.176:7980
CCTV4,http://219.156.52.203:4000/rtp/225.1.4.4:1033

CCTV5,http://175.43.106.30:4022/rtp/239.61.3.35:9728
CCTV5,http://113.205.255.93:8003/rtp/225.0.4.143:7980

CCTV5+,http://175.43.106.30:4022/rtp/239.61.2.171:9014
CCTV5+,http://113.205.255.93:8003/rtp/225.0.4.73:7980

CCTV6,http://175.43.106.30:4022/rtp/239.61.3.36:9734
CCTV6,http://113.205.255.93:8003/rtp/225.0.4.144:7980

CCTV7,http://219.156.52.203:4000/rtp/225.1.4.76:1105
CCTV7,http://175.43.106.30:4022/rtp/239.61.2.175:9038
CCTV7,http://113.205.255.93:8003/rtp/225.0.4.127:7980
CCTV7,http://219.156.52.203:4000/rtp/225.1.4.7:1036

CCTV8,http://175.43.106.30:4022/rtp/239.61.3.37:9740
CCTV8,http://113.205.255.93:8003/rtp/225.0.4.137:7980

CCTV9,http://175.43.106.30:4022/rtp/239.61.2.172:9020
CCTV9,http://219.156.52.203:4000/rtp/225.1.4.77:1106
CCTV9,http://113.205.255.93:8003/rtp/225.0.4.131:7980
CCTV9,http://219.156.52.203:4000/rtp/225.1.4.9:1038

CCTV10,http://175.43.106.30:4022/rtp/239.61.2.176:9044
CCTV10,http://219.156.52.203:4000/rtp/225.1.4.78:1107
CCTV10,http://113.205.255.93:8003/rtp/225.0.4.130:7980
CCTV10,http://219.156.52.203:4000/rtp/225.1.4.10:1039

CCTV11,http://175.43.106.30:4022/rtp/239.61.2.21:8120
CCTV11,http://113.205.255.93:8003/rtp/225.0.4.218:7980
CCTV11,http://219.156.52.203:4000/rtp/225.1.4.11:1040

CCTV12,http://175.43.106.30:4022/rtp/239.61.2.177:9050
CCTV12,http://219.156.52.203:4000/rtp/225.1.4.79:1108
CCTV12,http://113.205.255.93:8003/rtp/225.0.4.129:7980
CCTV12,http://219.156.52.203:4000/rtp/225.1.4.12:1041

CCTV13,http://175.43.106.30:4022/rtp/239.61.2.23:8132
CCTV13,http://219.156.52.203:4000/rtp/225.1.4.113:1293
CCTV13,http://113.205.255.93:8003/rtp/225.0.4.219:7980
CCTV13,http://219.156.52.203:4000/rtp/225.1.4.13:1042

CCTV14,http://175.43.106.30:4022/rtp/239.61.2.178:9056
CCTV14,http://219.156.52.203:4000/rtp/225.1.4.80:1109
CCTV14,http://113.205.255.93:8003/rtp/225.0.4.128:7980
CCTV14,http://219.156.52.203:4000/rtp/225.1.4.14:1043

CCTV15,http://175.43.106.30:4022/rtp/239.61.2.25:8144
CCTV15,http://219.156.52.203:4000/rtp/225.1.4.216:1269
CCTV15,http://113.205.255.93:8003/rtp/225.0.4.220:7980
CCTV15,http://219.156.52.203:4000/rtp/225.1.4.15:1044

CCTV17,http://175.43.106.30:4022/rtp/239.61.3.9:9572
CCTV17,http://219.156.52.203:4000/rtp/225.1.4.226:2506
CCTV17,http://113.205.255.93:8003/rtp/225.0.4.179:7980

历年春晚,#genre#
1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4
1984,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
1985,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
1986,https://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDRfNDAzMDAxOTlfNjYyNzMyNTU0OTRfMF8z_b_B24f7d19f1132fa5d7f502f8377ad5567.mp4
1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
1987,https://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDhfNDAzMDAxOTlfNjYyNzMyNjMyMDNfMF8z_b_B570493ed8f7200d4013a66b2d21b2de9.mp4
1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
1988,https://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
1989,https://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
1991,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjI2MTVfNDAzMDAxOTlfNjYyNzYwNjUxNjVfMF8z_b_B8feb7b85888678d71bf37a259c6850f6.mp4
1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
1993,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYwODJfMF8z_b_B647d10e431b4cc5e48e6c77347d69021.mp4
1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
1994,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxMjNfMF8z_b_B3dde97f36273f04403d4dc5eec611a35.mp4
1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
1995,https://txmov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQwNzVfMF8z_b_B811c0dec6b9a3d3074a18522c185010a.mp4
1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
1996,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
1997,https://txmov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
1999,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQxNTRfMF8z_b_B0b5e52bc003285ef66ec0cbb2be08556.mp4
1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
2000,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxMTNfMF8z_b_Bdddf4e7ef0ff6cfd477857bb40e78419.mp4
2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
2001,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMDFfMF8z_b_B70592cb7c4054e9cabb675e849bbf4bd.mp4
2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
2002,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxNDdfMF8z_b_Ba6271d10b7e6cfae83759033a091f257.mp4
2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
2003,https://txmov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4
2004,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxOTVfMF8z_b_B86c4430b82ff5a7f4e8132f6ee558536.mp4
2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
2005,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMzhfMF8z_b_B35ad7cc86aec8fc9e5ddfb31fc7bed63.mp4
2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
2006,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyNzlfMF8z_b_Bbc3703fc331dc994c50859c19aad28ff.mp4
2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
2007,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzMjNfMF8z_b_B00b069c7899976459ceeaa99353dfefe.mp4
2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
